QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>com.thoughtworks.selenium.DefaultSelenium.public stop( ): void,stop( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public windowFocus( ): void,windowFocus( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public windowMaximize( ): void,windowMaximize( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,1
<Field>com.thoughtworks.selenium.DefaultSelenium->commandProcessor,commandProcessor : CommandProcessor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.thoughtworks.selenium.HttpCommandProcessor,HttpCommandProcessor,low,low,low-medium,low,0,3,1,0,0,4,207,12,0,0,3,0,0,0,0,0,0,0,,,,,207,,,,,,4,,,,,,,
<Method>com.thoughtworks.selenium.HttpCommandProcessor.public hasSessionInProgress( ): boolean,hasSessionInProgress( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>com.thoughtworks.selenium.HttpCommandProcessor.public start( ): void,start( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,0
<Method>com.thoughtworks.selenium.HttpCommandProcessor.public stop( ): void,stop( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,0,1,0
com.thoughtworks.selenium.RemoteCommand,RemoteCommand,low,low,low,low,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
com.thoughtworks.selenium.ScreenshotListener,ScreenshotListener,low,low,low,low,1,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,,,,,42,,,,,,0,,,,,,,
<Field>com.thoughtworks.selenium.ScreenshotListener->selenium, selenium : Selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.thoughtworks.selenium.SeleneseTestBase,SeleneseTestBase,low-medium,low,low-medium,low,1,17,5,0,1,24,219,60,2,1,13,3,0,1,0.479,1,0,0,,,,,219,,,,,,24,,,,,,,
<Method>com.thoughtworks.selenium.SeleneseTestBase.public SeleneseTestBase( ): void,SeleneseTestBase( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.public checkForVerificationErrors( ): void,checkForVerificationErrors( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,0,1,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.public clearVerificationErrors( ): void,clearVerificationErrors( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.protected getDefaultPort( ): int,getDefaultPort( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,0,0,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.protected isCaptureScreenShotOnFailure( ): boolean,isCaptureScreenShotOnFailure( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>com.thoughtworks.selenium.SeleneseTestBase.public pause( int ): void,pause( int ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,0,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.protected setCaptureScreenShotOnFailure( boolean ): void,setCaptureScreenShotOnFailure( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>com.thoughtworks.selenium.SeleneseTestBase.public setUp( ): void,setUp( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.public static assertFalse( boolean ): void,static assertFalse( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
"<Method>com.thoughtworks.selenium.SeleneseTestBase.public static assertNotEquals( boolean, boolean ): void","static assertNotEquals( boolean, boolean ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.public static assertTrue( boolean ): void,static assertTrue( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.public tearDown( ): void,tearDown( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,7,0,2,3
"<Method>com.thoughtworks.selenium.SeleneseTestBase.public verifyEquals( boolean, boolean ): void","verifyEquals( boolean, boolean ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,2,0,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.public verifyFalse( boolean ): void,verifyFalse( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,1,1,0
"<Method>com.thoughtworks.selenium.SeleneseTestBase.public verifyNotEquals( boolean, boolean ): void","verifyNotEquals( boolean, boolean ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,2,0,0
<Method>com.thoughtworks.selenium.SeleneseTestBase.public verifyTrue( boolean ): void,verifyTrue( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,1,1,0
<Field>com.thoughtworks.selenium.SeleneseTestBase->captureScreenShotOnFailure,captureScreenShotOnFailure : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.SeleneseTestBase->selenium,selenium : Selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.SeleneseTestBase->THIS_IS_WINDOWS,static final THIS_IS_WINDOWS : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.thoughtworks.selenium.SeleneseTestCase,SeleneseTestCase,low,low,low-medium,low,2,30,15,0,0,19,93,51,2,0,14,1,0,0.5,0.511,0.439,1,0,,,,,93,,,,,,19,,,,,,,
<Method>com.thoughtworks.selenium.SeleneseTestCase.public SeleneseTestCase( ): void,SeleneseTestCase( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>com.thoughtworks.selenium.SeleneseTestCase.public checkForVerificationErrors( ): void,checkForVerificationErrors( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
<Method>com.thoughtworks.selenium.SeleneseTestCase.public clearVerificationErrors( ): void,clearVerificationErrors( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
<Method>com.thoughtworks.selenium.SeleneseTestCase.protected isCaptureScreenShotOnFailure( ): boolean,isCaptureScreenShotOnFailure( ): boolean,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
<Method>com.thoughtworks.selenium.SeleneseTestCase.public pause( int ): void,pause( int ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
