QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
org.thoughtcrime.securesms.BindableConversationItem.EventListener,EventListener,low,low,low,low,0,0,0,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,5,,,,,,,
<Method>org.thoughtcrime.securesms.BindableConversationItem.public abstract setEventListener( EventListener ): void,setEventListener( EventListener ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
org.thoughtcrime.securesms.BindableConversationListItem,BindableConversationListItem,low,low,low,low,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,1,,,,,,,
org.thoughtcrime.securesms.BlockedContactsActivity,BlockedContactsActivity,low,low,low-medium,low,0,2,0,0,0,2,68,9,0,0,2,0,0,0,0,0,0,0,,,,,68,,,,,,2,,,,,,,
org.thoughtcrime.securesms.BlockedContactsActivity.BlockedContactsFragment,BlockedContactsFragment,low,low,low,low,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,,,,,46,,,,,,0,,,,,,,
<Method>org.thoughtcrime.securesms.BlockedContactsActivity.public onPreCreate( ): void,onPreCreate( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Method>org.thoughtcrime.securesms.BlockedContactsActivity.public onResume( ): void,onResume( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,0
org.thoughtcrime.securesms.ClearProfileAvatarActivity,ClearProfileAvatarActivity,low,low,low,low,0,1,0,0,0,1,14,13,0,0,1,0,0,0,0,0,0,0,,,,,14,,,,,,1,,,,,,,
<Method>org.thoughtcrime.securesms.ClearProfileAvatarActivity.public onResume( ): void,onResume( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,13,0,0,0
org.thoughtcrime.securesms.ConfirmIdentityDialog,ConfirmIdentityDialog,low,low,low-medium,low,0,1,0,0,0,1,107,5,0,0,1,0,0,0,0,0,0,0,,,,,107,,,,,,1,,,,,,,
org.thoughtcrime.securesms.ConfirmIdentityDialog.AcceptListener,AcceptListener,low,low,low,low,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,,,,,76,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConfirmIdentityDialog.CancelListener,CancelListener,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Method>org.thoughtcrime.securesms.ConfirmIdentityDialog.public show( ): void,show( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,0
org.thoughtcrime.securesms.ContactSelectionActivity,ContactSelectionActivity,low,low,low-medium,low,0,6,0,0,0,6,67,26,0,0,6,0,0,0,0,0,0,0,,,,,67,,,,,,6,,,,,,,
org.thoughtcrime.securesms.ContactSelectionActivity.RefreshDirectoryTask,RefreshDirectoryTask,low,low,low,low,0,1,0,0,0,1,17,2,0,0,1,0,0,0,0,0,0,0,,,,,17,,,,,,1,,,,,,,
<Method>org.thoughtcrime.securesms.ContactSelectionActivity.private initializeResources( ): void,initializeResources( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionActivity.private initializeSearch( ): void,initializeSearch( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionActivity.private initializeToolbar( ): void,initializeToolbar( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionActivity.protected onPreCreate( ): void,onPreCreate( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionActivity.public onRefresh( ): void,onRefresh( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionActivity.public onResume( ): void,onResume( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,0
org.thoughtcrime.securesms.ContactSelectionListFragment,ContactSelectionListFragment,low,low,low-medium,low,0,9,1,0,0,16,173,88,1,0,9,0,0,0,0.593,1,0,0,,,,,173,,,,,,16,,,,,,,
org.thoughtcrime.securesms.ContactSelectionListFragment.ListClickListener,ListClickListener,low,low,low,low,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,,11,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ContactSelectionListFragment$9936;,Lorg.thoughtcrime.securesms.ContactSelectionListFragment$9936;,low,low,low,low,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,,,,,26,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ContactSelectionListFragment.OnContactSelectedListener,OnContactSelectedListener,low,low,low,low,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,,,,,3,,,,,,2,,,,,,,
<Method>org.thoughtcrime.securesms.ContactSelectionListFragment.private handleContactPermissionGranted( ): void,handleContactPermissionGranted( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,29,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionListFragment.private initializeCursor( ): void,initializeCursor( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,0,1,0
<Method>org.thoughtcrime.securesms.ContactSelectionListFragment.private initializeNoContactsPermission( ): void,initializeNoContactsPermission( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,17,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionListFragment.private isMulti( ): boolean,isMulti( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionListFragment.public onStart( ): void,onStart( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,20,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionListFragment.public reset( ): void,reset( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionListFragment.public resetQueryFilter( ): void,resetQueryFilter( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>org.thoughtcrime.securesms.ContactSelectionListFragment.public setOnContactSelectedListener( OnContactSelectedListener ): void,setOnContactSelectedListener( OnContactSelectedListener ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>org.thoughtcrime.securesms.ContactSelectionListFragment.public setRefreshing( boolean ): void,setRefreshing( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Field>org.thoughtcrime.securesms.ContactSelectionListFragment->onContactSelectedListener,onContactSelectedListener : OnContactSelectedListener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.thoughtcrime.securesms.ConversationActivity,ConversationActivity,very-high,low,very-high,medium-high,0,66,18,0,0,153,1535,702,8,13,66,0,0,0.959,0.764,1,0,0,,,,,1535,,,,,,153,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.AttachButtonListener,AttachButtonListener,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.AttachButtonLongClickListener,AttachButtonLongClickListener,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.AttachmentTypeListener,AttachmentTypeListener,low,low,low,low,0,2,1,0,0,1,9,3,0,0,1,0,0,0,0,0,0,0,,,,,9,,,,,,1,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.ComposeKeyPressedListener,ComposeKeyPressedListener,low,low,low,low,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,,,,,26,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$14879;,Lorg.thoughtcrime.securesms.ConversationActivity$14879;,low,low,low,low,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,,,,,18,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$15050;,Lorg.thoughtcrime.securesms.ConversationActivity$15050;,low,low,low,low,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,,,,13,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$16320;,Lorg.thoughtcrime.securesms.ConversationActivity$16320;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$30368;,Lorg.thoughtcrime.securesms.ConversationActivity$30368;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$35136;,Lorg.thoughtcrime.securesms.ConversationActivity$35136;,low,low,low,low,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,,,,,29,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$39382;,Lorg.thoughtcrime.securesms.ConversationActivity$39382;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$39967;,Lorg.thoughtcrime.securesms.ConversationActivity$39967;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$46919;,Lorg.thoughtcrime.securesms.ConversationActivity$46919;,low,low,low,low,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,,,,,49,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$47734;,Lorg.thoughtcrime.securesms.ConversationActivity$47734;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$49765;,Lorg.thoughtcrime.securesms.ConversationActivity$49765;,low,low,low,low,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,,,,,34,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$53586;,Lorg.thoughtcrime.securesms.ConversationActivity$53586;,low,low,low,low,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$54114;,Lorg.thoughtcrime.securesms.ConversationActivity$54114;,low,low,low,low,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,,,,,32,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$62999;,Lorg.thoughtcrime.securesms.ConversationActivity$62999;,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$68178;,Lorg.thoughtcrime.securesms.ConversationActivity$68178;,low,low,low,low,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,,,,,18,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$73822;,Lorg.thoughtcrime.securesms.ConversationActivity$73822;,low,low,low,low,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,8,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$74362;,Lorg.thoughtcrime.securesms.ConversationActivity$74362;,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$82111;,Lorg.thoughtcrime.securesms.ConversationActivity$82111;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$84610;,Lorg.thoughtcrime.securesms.ConversationActivity$84610;,low,low,low,low,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,,,,,23,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$85442;,Lorg.thoughtcrime.securesms.ConversationActivity$85442;,low,low,low,low,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,9,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$85560;,Lorg.thoughtcrime.securesms.ConversationActivity$85560;,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$86481;,Lorg.thoughtcrime.securesms.ConversationActivity$86481;,low,low,low,low,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,,11,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$86616;,Lorg.thoughtcrime.securesms.ConversationActivity$86616;,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.QuickCameraToggleListener,QuickCameraToggleListener,low,low,low,low,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,,,,15,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.QuoteRestorationTask,QuoteRestorationTask,low,low,low,low,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,,,20,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.SendButtonListener,SendButtonListener,low,low,low,low,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,,10,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.TypingStatusTextWatcher,TypingStatusTextWatcher,low,low,low,low,0,1,0,0,0,1,8,2,1,0,1,0,0,0,0,0,0,0,,,,,8,,,,,,1,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.UnverifiedClickedListener,UnverifiedClickedListener,low,low,low,low,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,,,,,25,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.UnverifiedDismissedListener,UnverifiedDismissedListener,low,low,low,low,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,,,,17,,,,,,0,,,,,,,
<Method>org.thoughtcrime.securesms.ConversationActivity.private addAttachment( int ): void,addAttachment( int ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,17,1,0,8
<Method>org.thoughtcrime.securesms.ConversationActivity.private calculateCharactersRemaining( ): void,calculateCharactersRemaining( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,13,0,0,0
<Method>org.thoughtcrime.securesms.ConversationActivity.protected getThreadId( ): long,getThreadId( ): long,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.thoughtcrime.securesms.ConversationActivity.private handleAddAttachment( ): void,handleAddAttachment( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,7,0,1,2
<Method>org.thoughtcrime.securesms.ConversationActivity.private handleAddShortcut( ): void,handleAddShortcut( ): void,low,low,low-medium,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,32,0,0,0
<Method>org.thoughtcrime.securesms.ConversationActivity.private handleAddToContacts( ): void,handleAddToContacts( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,12,0,0,1
<Method>org.thoughtcrime.securesms.ConversationActivity.private handleConversationSettings( ): void,handleConversationSettings( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,0,1,1
