"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","5420","Windows runners","This PR re-enables the Windows runners.  Closes #3415 Closes #4330","closed","task,","zUniQueX","2022-06-19T13:36:54Z","2022-06-20T18:35:43Z"
"","5618","Fix tests","This PR provides fixes for failing tests:  - Liquibase 4.14.0 introduced a wording change from ""change set"" to ""changeset"", which breaks a test in the `dropwizard-migrations` module  - the introduction of the Grizzly connector in Dropwizard 2.1.1 broke some tests on Windows with the message ""Remotely closed"". This seems to be related to the `ClientProperties.REQUEST_ENTITY_PROCESSING` property, which was set to `RequestEntityProcessing.BUFFERED` while using the `HttpUrlConnectorProvider` and is now set to `RequestEntityProcessing.CHUNKED` in the `GrizzlyConnectorProvider`.","closed","","zUniQueX","2022-07-27T20:49:41Z","2022-08-03T07:15:34Z"
"","4727","Update dependencies to jakarta namespace","This PR provides dependency updates to do the 'big-bang-change' from the `javax` to the `jakarta` namespace.  This PR just updates the dependencies, it doesn't target any deprecations or other changes.","closed","dependencies,","zUniQueX","2022-02-17T20:17:53Z","2022-04-07T07:11:07Z"
"","4837","Update Apache HttpClient to version 5","This PR provides dependency updates for `httpclient` and `httpcore`. Following the migration guide, all classes are reimported and conflicts are resolved.  Support for deprecated fields was dropped, but I've seen that `HttpProcessor` can be re-added with providing `HttpRequestInterceptor` and `HttpResponseInterceptor` objects to the `HttpClientBuilder`. But therefore we have to decide whether to use `add...InterceptorFirst(...)` or `add...InterceptorLast(...)`. Any opinions on that?","closed","dependencies,","zUniQueX","2022-03-01T23:32:18Z","2022-04-07T07:10:53Z"
"","5010","Jetty 10","This PR provides a dependency update to Jetty major version 10.  As discussed earlier in various issues and discussions, Jetty 10 will break request logging with Logback 1.2.x. After playing around a bit with this branch, I fixed it with overriding the `log` method of the `LogbackAccessRequestLog` class and providing a custom `ServerAdapter` implementation.  This means we would have to adjust those classes ourselves when Logback provides changes, but I think being blocked for our 3.0.x release is worse then doing this. @dropwizard/committers if anyone has an other opinion on this, please feel free to close this PR.","closed","java,","zUniQueX","2022-03-21T23:43:48Z","2022-04-07T21:45:35Z"
"","5242","Modification to show issue for target property of logging appender","This PR is to modify this dropwizard-example to expose the issue.  When setting ""target: stdout"" in the test-example.yml and setting bootstrap.getObjectMapper().enable(DeserializationFeature.READ_UNKNOWN_ENUM_VALUES_USING_DEFAULT_VALUE) it will show that the lowercase setting ""stdout"" for the target property of Logging appender is not accepted.","closed","","yingliu928","2022-04-26T19:22:14Z","2022-04-26T19:41:29Z"
"","5231","Add notes for breaking changes in Jersey and Liquibase","This PR adds some details for the upcoming versioning change and for the breaking changes the upgrades of Liquibase and Jersey introduce for the migration towards Dropwizard 2.1.","closed","documentation,","zUniQueX","2022-04-22T11:38:33Z","2022-05-23T19:20:03Z"
"","5183","Include runnable code snippets into docs","This PR adapts the current changes of `release/3.0.x` to the great work @joschi did in #3327 and integrates `:start-after:` and `:end-before:`.  The naming conventions I used in the comments can definitely be improved, but this is just a test to examine the maintainability of this approach.","closed","documentation,","zUniQueX","2022-04-15T18:54:57Z","2022-05-23T19:18:10Z"
"","4836","Ignore code coverage metrics for dropwizard-benchmarks","This module's code is already test code. Don't report on test coverage for it.  Note: I'm not sure if this is quite the way to do it - the Sonar docs aren't very clear to me.  https://docs.sonarqube.org/latest/project-administration/narrowing-the-focus/#header-3","closed","task,","rhowe","2022-03-01T21:38:37Z","2022-03-02T12:09:54Z"
"","4647","Add a basic test for `DefaultHealthFactory#configure()`","This method is fairly tricky to test, but previously had no coverage. Ideas to make this test better would be appreciated.  Part of a mini-quest to kill that Sonar error about not meeting 80% test coverage on new code.","closed","","rhowe","2022-01-25T20:19:18Z","2022-01-26T18:01:36Z"
"","4827","Make more use of `ResourceConfigurationSourceProvider` in tests","This is neater than using `ResourceHelpers#resourceFilePath(String)`.  Clean up a few linter gripes in the affected tests at the same time.","closed","","rhowe","2022-02-26T19:46:56Z","2022-02-27T22:15:52Z"
"","4584","Mark dropwizard-jetty's `NetUtil` deprecated","This is an internal class which should probably be package-private.  Mark it deprecated as a step towards doing that.  (this is as an alternative to just straight up doing that - https://github.com/dropwizard/dropwizard/pull/4569)","closed","task,","rhowe","2022-01-06T18:29:59Z","2022-01-08T10:14:41Z"
"","4802","Simplify switch statement in `ResourceURL#getLastModified()`","This is a bit of a noop change - I don't think there were any gaps in the control flow.  Sonar was struggling to work out whether cases could fall-through, but they can't.  Still, moving the `return 0` to the end of each case statement makes it very clear what the behaviour will be.","closed","","rhowe","2022-02-21T21:40:35Z","2022-02-25T15:27:47Z"
