"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","2088","Unencrypted text displaying while TextSecure is locked via pushbullet","When using the pushbullet application service for my laptop and phone pushbullet displayed my TextSecure text message unencrypted while TextSecure was locked.  Before I upgraded my version of Android yesterday this was not the case pushbullet would display the message encrypted.  Device info:  HTC One, stock Android 4.4.2, TextSecure 2.2.0 App state:  Push registered, Incoming SMS Enabled, Outgoing SMS to TextSecure users, Non-TextSecure users","closed","","csmiddy","2014-11-11T14:25:04Z","2014-11-12T02:12:14Z"
"","1969","Set default communication channel per TextSecure contact","When using TextSecure as SMS replacement app, there occurs an issue if one contact tries out TextSecure but then decides to go back to some other IM. Then TextSecure always pre-selects sending a secure push message - which will never arrive because the contact no longer uses TextSecure.  So either one should be able to set the default communication channel for TextSecure contacts back to unsecure SMS, or at least TextSecure should remember the last communication channel per contact and default to that for the next message.","closed","","sbellon","2014-10-03T11:47:52Z","2014-10-03T17:11:20Z"
"","1690","Unsubscribe users from push on uninstall","When users uninstall textsecure with an active subscription to push service,  this subscription is left over. There is no way to tell this from the senders point of view. They just won't answer anymore. You have to talk back to them to get to know that they have uninstalled textsecure.   My suggestion is to unsubscribe from push automatically on uninstall and/or add receive notification for sent messages.","closed","","PulsarFX","2014-07-09T19:20:31Z","2014-07-09T20:07:23Z"
"","1636","Cannot communicate with X-TextSecure user","When user stops using TextSecure, there is seemingly no way to downgrade the communication and purge their key.","closed","","Fuzion24","2014-06-24T00:27:44Z","2014-07-22T20:01:40Z"
"","2142","Error 2.3.x with old Google Play services","When upgrading from 2.2.0 to 2.3.0 TextSecure crashed and I had to downfgade. Installing 2.2.0 over 2.3.0 refused (is this a bug somewhere or done deliberately?) so I had to deinstall 2.3.0, install 2.2.0 and restore my Titanium backup.  2.3.2 did work, but complained that push mesages didn't work anymore because my Google Play Services were too old. I upgraded these to the last version, but it would have been nice if the message gave more information, like the mimimum version required.","closed","","johanw666","2014-11-26T16:39:40Z","2014-11-26T21:30:21Z"
"","1963","Updating directory for new textsecure users only displays after leaving screen","When updating directory new users, the screen does not refresh with new text-secure users. Leaving and re-entering the new text scree updates the list of users as expected.","closed","ux,","anemes","2014-10-01T04:37:35Z","2015-02-16T06:48:23Z"
"","1744","Attachments cannot be sent from gallery - on certain phones sometimes","When trying to add an attachment, e.g. a picture, the dialog ""Open"" will only show the folder ""Recent"" and ""Downloads"". Sending pictures or videos that are stored in the gallery would be really nice.","closed","ux,","horstschimanski","2014-07-25T21:43:32Z","2018-04-02T21:26:45Z"
"","1677","NullPointerException: No session information found.","When testing and debugging WebSocket support with my own server instance, I came across this NullPointerException. I don't know if this will also happen during normal operation, but shouldn't crash in any case. The Exception was raised when trying to send a message to myself.  ``` W/SessionRecordV2( 6770): No session information found. E/AndroidRuntime( 6770): FATAL EXCEPTION: SendReceveService-WorkerThread E/AndroidRuntime( 6770): Process: org.thoughtcrime.securesms.wstest, PID: 6770 E/AndroidRuntime( 6770): java.lang.NullPointerException E/AndroidRuntime( 6770):        at org.whispersystems.textsecure.storage.SessionState.setRemoteIdentityKey(SessionState.java:63) E/AndroidRuntime( 6770):        at org.whispersystems.textsecure.crypto.ratchet.RatchetingSession.initializeSessionAsAlice(RatchetingSession.java:45) E/AndroidRuntime( 6770):        at org.whispersystems.textsecure.crypto.ratchet.RatchetingSession.initializeSession(RatchetingSession.java:30) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.crypto.KeyExchangeProcessorV2.processKeyExchangeMessage(KeyExchangeProcessorV2.java:144) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.transport.PushTransport.getEncryptedMessage(PushTransport.java:341) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.transport.PushTransport.getEncryptedMessages(PushTransport.java:311) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.transport.PushTransport.deliver(PushTransport.java:148) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.transport.PushTransport.deliver(PushTransport.java:92) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.transport.UniversalTransport.deliver(UniversalTransport.java:88) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.service.SmsSender.handleSendMessage(SmsSender.java:88) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.service.SmsSender.process(SmsSender.java:62) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.service.SendReceiveService$SendReceiveWorkItem.run(SendReceiveService.java:273) E/AndroidRuntime( 6770):        at org.thoughtcrime.securesms.util.WorkerThread.run(WorkerThread.java:46) ```","closed","","grote","2014-07-04T22:43:50Z","2015-02-16T06:41:04Z"
"","1540","Notification bar leads to black screen","When tapping a text message notification, a black screen comes up instead of the TextSecure app. I've tried rebooting and closing all open apps.  Device: Samsung Galaxy S4 (Sprint) running stock Android 4.42 L720VPUFNAE Debug log: http://hastebin.com/ageyocihog","closed","","saltthefries","2014-05-28T23:35:06Z","2014-06-03T17:06:22Z"
"","2297","set conversation actionbar statelessly","when switching from a conversation with a subtitle to one without (an unknown contact), the subtitle wasn't being unset. I cleaned the logic up a bit to make sure we always set subtitle and title to their proper states, independent of what they were.","closed","","mcginty","2015-01-04T21:18:17Z","2015-01-05T22:47:10Z"
